fila,etiqueta_real
0,Bot
1,BENIGN
2,BENIGN
3,BENIGN
4,BENIGN
5,DoS slowloris
6,BENIGN
7,BENIGN
8,DoS Hulk
9,BENIGN
10,BENIGN
11,BENIGN
12,DDoS
13,BENIGN
14,BENIGN
15,DoS GoldenEye
16,SSH-Patator
17,BENIGN
18,BENIGN
19,Web Attack - XSS
20,BENIGN
21,BENIGN
22,Web Attack - Sql Injection
23,BENIGN
24,BENIGN
25,BENIGN
26,PortScan
27,Web Attack - Brute Force
28,BENIGN
29,BENIGN
30,DoS Slowhttptest
31,BENIGN
32,BENIGN
33,BENIGN
34,DoS Hulk
35,BENIGN
36,BENIGN
37,BENIGN
38,DoS Slowhttptest
39,BENIGN
40,BENIGN
41,DoS Slowhttptest
42,BENIGN
43,DoS Hulk
44,BENIGN
45,BENIGN
46,DoS Hulk
47,BENIGN
48,BENIGN
49,DDoS
50,BENIGN
51,SSH-Patator
52,PortScan
53,BENIGN
54,BENIGN
55,DDoS
56,DoS GoldenEye
57,Web Attack - Sql Injection
58,DoS slowloris
59,BENIGN
60,FTP-Patator
61,BENIGN
62,SSH-Patator
63,BENIGN
64,BENIGN
65,BENIGN
66,DDoS
67,BENIGN
68,Bot
69,BENIGN
70,Web Attack - XSS
71,BENIGN
72,BENIGN
73,BENIGN
74,Web Attack - XSS
75,BENIGN
76,BENIGN
77,BENIGN
78,BENIGN
79,Bot
80,DoS Hulk
81,Web Attack - Brute Force
82,BENIGN
83,Web Attack - Brute Force
84,DoS Hulk
85,BENIGN
86,DDoS
87,DoS slowloris
88,BENIGN
89,BENIGN
90,DDoS
91,BENIGN
92,BENIGN
93,DoS Slowhttptest
94,BENIGN
95,BENIGN
96,PortScan
97,BENIGN
98,DoS Hulk
99,DoS Hulk
100,BENIGN
101,BENIGN
102,BENIGN
103,Web Attack - Brute Force
104,BENIGN
105,SSH-Patator
106,FTP-Patator
107,PortScan
108,BENIGN
109,BENIGN
110,BENIGN
111,DoS Slowhttptest
112,BENIGN
113,BENIGN
114,DoS GoldenEye
115,BENIGN
116,BENIGN
117,Web Attack - Brute Force
118,BENIGN
119,DoS Hulk
120,FTP-Patator
121,DoS GoldenEye
122,DoS Hulk
123,BENIGN
124,DoS Hulk
125,BENIGN
126,BENIGN
127,BENIGN
128,DoS Hulk
129,BENIGN
130,DoS GoldenEye
131,BENIGN
132,BENIGN
133,BENIGN
134,BENIGN
135,BENIGN
136,BENIGN
137,DoS GoldenEye
138,Bot
139,BENIGN
140,BENIGN
141,Bot
142,BENIGN
143,BENIGN
144,Web Attack - Brute Force
145,BENIGN
146,BENIGN
147,BENIGN
148,BENIGN
149,BENIGN
150,Bot
151,DDoS
152,BENIGN
153,PortScan
154,PortScan
155,BENIGN
156,BENIGN
157,DoS Hulk
158,BENIGN
159,BENIGN
160,BENIGN
161,BENIGN
162,BENIGN
163,BENIGN
164,SSH-Patator
165,BENIGN
166,BENIGN
167,BENIGN
168,Bot
169,BENIGN
170,BENIGN
171,BENIGN
172,BENIGN
173,BENIGN
174,DDoS
175,PortScan
176,DoS Hulk
177,BENIGN
178,BENIGN
179,DoS Slowhttptest
180,BENIGN
181,DDoS
182,BENIGN
