objeto,donde,argumentos_con_nombre,argumentos_posicionales
HistGradientBoostingClassifier,src/modelo_final.py:57,"class_weight, max_iter, random_state",0
HistGradientBoostingClassifier,src/experimentos.py:92,"class_weight, max_iter, random_state",0
HistGradientBoostingClassifier,src/interpretabilidad.py:95,"class_weight, max_iter, random_state",0
HistGradientBoostingClassifier,src/evaluacion_final.py:142,"class_weight, max_iter, random_state",0
HistGradientBoostingClassifier,src/evaluacion_final.py:122,"class_weight, max_iter, random_state",0
IsolationForest,src/modelo_final.py:99,"n_estimators, n_jobs, random_state",0
IsolationForest,src/no_supervisado.py:79,"n_estimators, n_jobs, random_state",0
IsolationForest,src/evaluacion_final.py:164,"n_estimators, n_jobs, random_state",0
StandardScaler,src/modelo_final.py:98,,0
StandardScaler,src/experimentos.py:90,,0
StandardScaler,src/no_supervisado.py:71,,0
StandardScaler,src/interpretabilidad.py:78,,0
StandardScaler,src/evaluacion_final.py:163,,0
LogisticRegression,src/experimentos.py:87,"class_weight, max_iter, random_state",0
LogisticRegression,src/interpretabilidad.py:79,"max_iter, random_state",0
SMOTE,src/experimentos.py:107,"random_state, sampling_strategy",0
RandomUnderSampler,src/experimentos.py:102,"random_state, sampling_strategy",0
LocalOutlierFactor,src/no_supervisado.py:94,"n_jobs, n_neighbors, novelty",0
StratifiedKFold,src/experimentos.py:123,"n_splits, random_state, shuffle",0
StratifiedKFold,src/interpretabilidad.py:74,"n_splits, random_state, shuffle",0
StratifiedKFold,src/interpretabilidad.py:93,"n_splits, random_state, shuffle",0
train_test_split,src/split.py:41,"random_state, stratify, test_size",1
permutation_importance,src/interpretabilidad.py:102,"n_jobs, n_repeats, random_state, scoring",3
